JrD                    JD 24...          B           Ic               
10:12:2011 18:55:0    55906.28820       ---        14.117     
10:12:2011 19:22:3    55906.30698       ---        14.122     
10:12:2011 19:39:24    55906.31903       15.105       ---      
10:12:2011 19:40:32    55906.31982       ---        14.093     
10:12:2011 19:50:29    55906.32673       14.954       ---      
10:12:2011 19:51:26    55906.32739       ---        14.015     
10:12:2011 19:59:15    55906.33282       14.708       ---      
10:12:2011 20:0:12    55906.33348       ---        13.926     
10:12:2011 20:13:26    55906.34267       14.204       ---      
10:12:2011 20:14:23    55906.34333       ---        13.657     
10:12:2011 20:19:38    55906.34697       13.959       ---      
10:12:2011 20:20:35    55906.34763       ---        13.512     
10:12:2011 20:28:47    55906.35333       13.565       ---      
10:12:2011 20:29:45    55906.35400       ---        13.328     
10:12:2011 20:37:5    55906.35909       13.371       ---      
10:12:2011 20:38:2    55906.35975       ---        13.211     
10:12:2011 20:48:59    55906.36736       13.299       ---      
10:12:2011 20:49:37    55906.36780       ---        13.154     
10:12:2011 20:56:11    55906.37236       13.277       ---      
10:12:2011 21:36:50    55906.40058       13.643       ---      
10:12:2011 21:37:47    55906.40124       ---        13.371     
